"filename", "language", "PHP", "JavaScript", "JSON with Comments", "CSS", "SCSS", "JSON", "XML", "Markdown", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\inmuebles\admin\models\crud.model.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33, 128
"c:\xampp\htdocs\inmuebles\admin\views\build\config\.eslintrc.json", "JSON with Comments", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\xampp\htdocs\inmuebles\admin\views\build\config\postcss.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\inmuebles\admin\views\build\config\rollup.config.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 3, 33
"c:\xampp\htdocs\inmuebles\admin\views\build\js\AdminLTE.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\xampp\htdocs\inmuebles\admin\views\build\js\CardRefresh.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 20, 34, 167
"c:\xampp\htdocs\inmuebles\admin\views\build\js\CardWidget.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 20, 49, 239
"c:\xampp\htdocs\inmuebles\admin\views\build\js\ControlSidebar.js", "JavaScript", 0, 249, 0, 0, 0, 0, 0, 0, 0, 30, 58, 337
"c:\xampp\htdocs\inmuebles\admin\views\build\js\DirectChat.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 24, 20, 85
"c:\xampp\htdocs\inmuebles\admin\views\build\js\Dropdown.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 25, 31, 147
"c:\xampp\htdocs\inmuebles\admin\views\build\js\ExpandableTable.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 24, 22, 125
"c:\xampp\htdocs\inmuebles\admin\views\build\js\Fullscreen.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 24, 25, 131
"c:\xampp\htdocs\inmuebles\admin\views\build\js\IFrame.js", "JavaScript", 0, 365, 0, 0, 0, 0, 0, 0, 0, 26, 70, 461
"c:\xampp\htdocs\inmuebles\admin\views\build\js\Layout.js", "JavaScript", 0, 189, 0, 0, 0, 0, 0, 0, 0, 27, 47, 263
"c:\xampp\htdocs\inmuebles\admin\views\build\js\NavbarSearch.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 24, 26, 114
"c:\xampp\htdocs\inmuebles\admin\views\build\js\PushMenu.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 25, 50, 230
"c:\xampp\htdocs\inmuebles\admin\views\build\js\SidebarSearch.js", "JavaScript", 0, 217, 0, 0, 0, 0, 0, 0, 0, 25, 58, 300
"c:\xampp\htdocs\inmuebles\admin\views\build\js\Toasts.js", "JavaScript", 0, 143, 0, 0, 0, 0, 0, 0, 0, 21, 46, 210
"c:\xampp\htdocs\inmuebles\admin\views\build\js\TodoList.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 25, 28, 119
"c:\xampp\htdocs\inmuebles\admin\views\build\js\Treeview.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 25, 36, 176
"c:\xampp\htdocs\inmuebles\admin\views\build\npm\.eslintrc.json", "JSON with Comments", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\xampp\htdocs\inmuebles\admin\views\build\npm\DocsPlugins.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 3, 49
"c:\xampp\htdocs\inmuebles\admin\views\build\npm\DocsPublish.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 2, 11, 59
"c:\xampp\htdocs\inmuebles\admin\views\build\npm\Plugins.js", "JavaScript", 0, 404, 0, 0, 0, 0, 0, 0, 0, 42, 4, 450
